Date,TSLA
11/8/2015,15.82466698
12/8/2015,15.87800026
13/8/2015,16.1673336
14/8/2015,16.20999908
17/8/2015,16.99933243
18/8/2015,17.3813324
19/8/2015,17.01666641
20/8/2015,16.14533234
21/8/2015,15.3846674
24/8/2015,14.59133339
25/8/2015,14.66866684
26/8/2015,14.98933315
27/8/2015,16.19933319
28/8/2015,16.56533241
31/8/2015,16.60400009
1/9/2015,15.90866661
2/9/2015,16.5126667
3/9/2015,16.37133217
4/9/2015,16.12866783
8/9/2015,16.54466629
9/9/2015,16.59399986
10/9/2015,16.56533241
11/9/2015,16.68266678
14/9/2015,16.8793335
15/9/2015,16.9046669
16/9/2015,17.48333359
17/9/2015,17.47133255
18/9/2015,17.37466621
21/9/2015,17.61333275
22/9/2015,17.39599991
23/9/2015,17.40399933
24/9/2015,17.54133224
25/9/2015,17.12733269
28/9/2015,16.56200027
29/9/2015,16.44333267
30/9/2015,16.55999947
1/10/2015,15.99199963
2/10/2015,16.50466728
5/10/2015,16.40999985
6/10/2015,16.09733391
7/10/2015,15.46399975
8/10/2015,15.11466694
9/10/2015,14.71266747
12/10/2015,14.37199974
13/10/2015,14.61666679
14/10/2015,14.4586668
15/10/2015,14.75399971
16/10/2015,15.13399982
19/10/2015,15.20666695
20/10/2015,14.20199966
21/10/2015,14.00599957
22/10/2015,14.11466694
23/10/2015,13.93933296
26/10/2015,14.350667
27/10/2015,14.0233326
28/10/2015,14.19733334
29/10/2015,14.10866737
30/10/2015,13.79533291
2/11/2015,14.25266743
3/11/2015,13.89000034
4/11/2015,15.44200039
5/11/2015,15.45133305
6/11/2015,15.49066734
9/11/2015,15.02200031
10/11/2015,14.4333334
11/11/2015,14.60533333
12/11/2015,14.1960001
13/11/2015,13.81266689
16/11/2015,14.28733253
17/11/2015,14.26666737
18/11/2015,14.73799992
19/11/2015,14.78666687
20/11/2015,14.66733265
23/11/2015,14.51666737
24/11/2015,14.55000019
25/11/2015,15.30933285
27/11/2015,15.44066715
30/11/2015,15.350667
